PERIHELION DATE ,COMET DESIGNATION ,COMET DISCOVERER ,TELESCOPE ,PERIHELION DISTANCE
2006-08-03.16,C/2006 P3 SOHO-1181,A.Kubczak,C3,0.0050
2006-08-03.79,C/2006 P5 SOHO-1183,H.Su,C3,0.0050
2006-08-03.84,C/2006 P4 SOHO-1182,S.Yuan,C2 C3,0.0050
2006-08-04.10,C/2006 P6 SOHO-1184,H.Su,C3,0.0072
2006-08-04.87,C/2006 P7 SOHO-1185,A.Kubczak,C3,0.0051
2006-09-12.81,C/2006 R4 SOHO-1187,T.Hoffman,C3,0.0050
2006-09-19.00,C/2006 S7 SOHO-1188,R.Matson,C2 C3,0.0051
2006-09-19.13,C/2006 S9 SOHO-1189,R.Matson,C2 C3,0.0050
2006-09-19.44,C/2006 S8 SOHO-1192,R.Matson,C2 C3,0.0093 (See MPC ??? (TBD))
2006-09-19.57,C/2006 S10 SOHO-1190,R.Matson,C2 C3,0.0049
2006-09-19.59,C/2006 S11 SOHO-1191,R.Matson,C2 C3,0.0051
2006-09-27.87,C/2006 S12 SOHO-1193,R.Matson,C2 C3,0.0052
2006-09-30.98,C/2006 S13 SOHO-1194,H.Su,C2 C3,0.0050
2006-10-03.02,C/2006 T2 SOHO-1195,R.Matson,C2 C3,0.0051
2006-10-03.86,C/2006 T3 SOHO-1196,H.Su,C2 C3,0.0051
2006-10-03.90,C/2006 T4 SOHO-1197,G.Sun&T.Chen,C2 C3,0.0051
2006-10-06.60,C/2006 T5 SOHO-1198,M.-T. Hui,C2,0.0049
2006-10-10.70,C/2006 T7 SOHO-1200,B.Zhou,C2,0.0051
2006-10-16.03,C/2006 T8 SOHO-1201,T.Hoffman,C2 C3,0.0052
2006-10-16.27,C/2006 T9 SOHO-1202,T.Hoffman,C2 C3,0.0050
2006-10-12.89,C/2006 T10 SOHO-1206,B.Zhou,C2,0.0051
2006-10-17.09,C/2006 U8 SOHO-1203,T.Scarmato,C2 C3,0.0050
2006-10-20.51,C/2006 U9 SOHO-1204,S.Farmer Jr.,C2 C3,0.0048
2006-10-25.08,C/2006 U11 SOHO-1207,H.Su,C2 C3,0.0053
2006-10-24.76,C/2006 U12 SOHO-1208,T.Chen,C2,0.0051
2006-10-25.75,C/2006 U13 SOHO-1209,H.Su,C2,0.0051
2006-10-28.65,C/2006 U15 SOHO-1211,L.Cane,C2 C3,0.0051
2006-10-28.72,C/2006 U14 SOHO-1210,H.Su,C2 C3,0.0048
2006-10-31.00,C/2006 U16 SOHO-1212,T.Chen&H.Su&R.Kracht,C2,0.0051
2006-11-03.38,C/2006 V3 SOHO-1215,H.Su,C2,0.0051
2006-11-03.78,C/2006 V2 SOHO-1213,J.Sachs,C2 C3,0.0050
2006-11-04.71,C/2006 V4 SOHO-1216,H.Su,C2 C3,0.0051
2006-11-07.74,C/2006 V5 SOHO-1218,T.Hoffman,C2,0,.0051
2006-11-07.88,C/2006 V6 SOHO-1219,H.Su,C2,0.0052
2006-11-08.93,C/2006 V7 SOHO-1220,H.Su,C2,0.0050
2006-11-12.26,C/2006 V8 SOHO-1221,R.Kracht,C2,0.0063
2006-11-14.34,C/2006 V10 SOHO-1223,H.Su,C2,0.0052
2006-11-14.46,C/2006 V9 SOHO-1222,B.Zhou,C2 C3,0.0052
2006-11-20.33,C/2006 W5 SOHO-1224,T.Hoffman,C2,0.0053
2006-11-20.39,C/2006 W6 SOHO-1225,T.Hoffman,C2,0.0052
2006-11-25.87,C/2006 W7 SOHO-1226,R.Kracht,C2,0.0055
2006-12-09.52,C/2006 X2 SOHO-1228,R.Kracht,C2,0.0055
2006-12-10.03,C/2006 X3 SOHO-1229,M.Meyer,C2,0.0052
2006-12-10.98,C/2006 X5 SOHO-1231,B.Zhou,C2,0.0050
2006-12-11.59,C/2006 X4 SOHO-1230,T.Scarmato,C2 C3,0.0047
2006-12-12.07,C/2006 X6 SOHO-1232,X.Gao,C2,0.0051
2006-12-12.73,C/2006 X7 SOHO-1233,H.Su,C2 C3,0.0044
2006-12-12.90,C/2006 X8 SOHO-1234,B.Zhou,C2,0.0051
2006-12-15.50,C/2006 X9 SOHO-1235,T.Hoffman & R.Kracht,C2,0.0076
