PERIHELION DATE ,COMET DESIGNATION ,COMET DISCOVERER ,TELESCOPE ,PERIHELION DISTANCE
2011-,C/2011 SOHO-2004,B.Zhou,C2,  
2011-,C/2011 SOHO-2005,Z.Xu,C2 C3,  
2011-,C/2011 SOHO-2006,M.Uchina,C3,  
2011-,C/2011 SOHO-2007,A.Godunov,C3,  
2011-,C/2011 SOHO-2009,S.Deshmukh,C3,  
2011-,C/2011 SOHO-2010,M.Uchina,C3,  
2011-,C/2011 SOHO-2011,M.Uchina,C3,  
2011-,C/2011 SOHO-2011,Kusiak/Uchina,C3,  
2011-,C/2011 SOHO-2013,B.Zhou,C3,  
2011-,C/2011 SOHO-2014,M.Kusiak,C2 C3,  
2011-,C/2011 SOHO-2015,R.Kracht,C2,  
2011-,C/2011 SOHO-2016,M.Kusiak,C3,  
2011-,C/2011 SOHO-2017,Z.Xu,C3,  
2011-,C/2011 SOHO-2018,M.Kusiak,C3,  
2011-,C/2011 SOHO-2019,A.Godunov,C3,  
2011-,C/2011 SOHO-2020,S.Schmalz,C3,  
2011-,C/2011 SOHO-2021,Z.Xu,C3,  
2011-,C/2011 SOHO-2023,M.Uchina,C3,  
2011-,C/2011 SOHO-2025,M.Uchina,C2 C3,  
2011-,C/2011 SOHO-2026,S.Liwo,C2 C3,  
2011-,C/2011 SOHO-2027,H.Su,C3,  
2011-,C/2011 SOHO-2028,B.Zhou,C3,  
2011-,C/2011 SOHO-2029,A.Godunov,C3,  
2011-,C/2011 SOHO-2031,Z.Xu,C3,  
2011-,C/2011 SOHO-2032,S.Deshmukh,C3,  
2011-,C/2011 SOHO-2034,S.Deshmukh,C3,  
2011-,C/2011 SOHO-2036,R.Reszelwski,C3/C2,  
2011-,C/2011 SOHO-2037,B.Zhou,C2,  
2011-,C/2011 SOHO-2038,S.Deshmukh,C2,  
2011-,C/2011 SOHO-2039,M.Uchina,C3/C2,  
2011-,C/2011 SOHO-2040,Z.Xu,C2 C3,  
2011-,C/2011 SOHO-2041,M.Uchina,C2,  
2011-,C/2011 SOHO-2042,A.Kubczak,C2,  
2011-,C/2011 SOHO-2044,M.Kusiak,C2,  
2011-,C/2011 SOHO-2045,B.Zhou,C2 C3,  
2011-,C/2011 SOHO-2047,J.Ruan,C2,  
2011-,C/2011 SOHO-2048,Z.Xu,C2,  
2011-,C/2011 SOHO-2049,S.Liwo,C2,  
2011-,C/2011 SOHO-2050,Z.Xu,C2,  
2011-,C/2011 SOHO-2051,M.Kusiak,C2,  
2011-,C/2011 SOHO-2052,M.Uchina,C2,  
2011-,C/2011 SOHO-2053,B.Zhou,C2,  
2011-,C/2011 SOHO-2054,B.Zhou,C2,  
2011-,C/2011 SOHO-2055,J.Ruan/Z.Xu,C2,  
2011-,C/2011 SOHO-2056,A.Godunov,C2,  
2011-,C/2011 SOHO-2057,M.Kusiak,C2,  
2011-,C/2011 SOHO-2058,B.Zhou,C3,  
2011-,C/2011 SOHO-2060,Z.Xu,C2,  
2011-,C/2011 SOHO-2061,M.Uchina,C2,  
2011-,C/2011 SOHO-2063,M.Kusiak,C2,  
2011-,C/2011 SOHO-2064,K.Nakonechny,C2,  
2011-,C/2011 SOHO-2065,M.Uchina,C2 C3,  
2011-,C/2011 SOHO-2066,S.Liwo,C2,  
2011-,C/2011 SOHO-2067,Z.Xu,C2 C3,  
2011-,C/2011 SOHO-2072,S.Shurpakov,C2 C3,  
2011-,C/2011 SOHO-2073,M.Kusiak/Z.Xu/M.Uchina,C2,  
2011-,C/2011 SOHO-2074,S.Liwo,C2,  
2011-,C/2011 SOHO-2075,B.Zhou,C2,  
2011-,C/2011 SOHO-2076,B.Zhou,C2,  
2011-,C/2011 SOHO-2077,S.Schmalz,C2,  
