PERIHELION DATE ,COMET DESIGNATION ,COMET DISCOVERER ,TELESCOPE ,PERIHELION DISTANCE
2012-,C/2012 SOHO-2218,S.Liwo,C2,  
2012-,C/2012 SOHO-2219,S.Liwo,C2 C3,  
2012-,C/2012 SOHO-2221,S.Schmalz,C2 C3,  
2012-,C/2012 SOHO-2222,S.Schmalz,C2 C3,  
2012-,C/2012 SOHO-2223,B.Zhou,C3,  
2012-,C/2012 SOHO-2224,B.Zhou,C3,  
2012-,C/2012 SOHO-2226,S.Liwo,C2 C3,  
2012-,C/2012 SOHO-2227,S.Liwo,C3,  
2012-,C/2012 SOHO-2228,K.Kida,C3,  
2012-,C/2012 SOHO-2229,M.Uchina/S.Schmalz,C3,  
2012-,C/2012 SOHO-2230,Z.Xu,C3,  
2012-,C/2012 SOHO-2232,B.Zhou,C3,  
2012-,C/2012 SOHO-2233,B.Zhou,C3,  
2012-,C/2012 SOHO-2234,M.Uchina,C3,  
2012-,C/2012 SOHO-2236,S.Schmalz,C3,  
2012-,C/2012 SOHO-2237,S.Schmalz,C3,  
2012-,C/2012 SOHO-2237,Z.Xu/S.Schmalz,C2 C3,  
2012-,C/2012 SOHO-2240,K.Kida,C3,  
2012-,C/2012 SOHO-2241,M.Uchina,C3,  
2012-,C/2012 SOHO-2242,S.Schmalz,C3,  
2012-,C/2012 SOHO-2243,K.Kida,C3,  
2012-,C/2012 SOHO-2244,B.Zhou,C3,  
2012-,C/2012 SOHO-2245,Z.Xu,C3,  
2012-,C/2012 SOHO-2246,B.Zhou,C2 C3,  
2012-,C/2012 SOHO-2248,S.Shurpakov,C3,  
2012-,C/2012 SOHO-2249,B.Zhou,C2,  
2012-,C/2012 SOHO-2250,K.Kida/S.Schmalz,C2 C3,  
2012-,C/2012 SOHO-2255,P.Maysonet,C2 C3,  
2012-,C/2012 SOHO-2256,A.Watson,C2 C3,  
2012-,C/2012 SOHO-2257,V.Bezugly,SWAN,  
2012-,C/2012 SOHO-2258,M.Kaluzny,C2,  
2012-,C/2012 SOHO-2260,B.Zhou,C2,  
2012-,C/2012 SOHO-2262,M.Kaluzny,C2,  
2012-,C/2012 SOHO-2264,B.Zhou,C2,  
2012-,C/2012 SOHO-2266,S.Schmalz,C2,  
2012-,C/2012 SOHO-2267,S.Schmalz,C2,  
2012-,C/2012 SOHO-2269,S.Schmalz,C2,  
2012-,C/2012 SOHO-2270,S.Schmalz,C2 C3,  
2012-,C/2012 SOHO-2271,S.Schmalz,C2,  
2012-,C/2012 SOHO-2272,S.Schmalz,C2,  
2012-,C/2012 SOHO-2273,S.Schmalz,C2 C3,  
2012-,C/2012 SOHO-2274,S.Liwo,C2,  
2012-,C/2012 SOHO-2276,M.Uchina,C2,  
2012-,C/2012 SOHO-2277,S.Schmalz,C2,  
2012-,C/2012 SOHO-2278,S.Schmalz,C2,  
2012-,C/2012 SOHO-2279,S.Schmalz,C2,  
2012-,C/2012 SOHO-2280,S.Schmalz,C2,  
2012-,C/2012 SOHO-2281,Z.Xu,C2,  
2012-,C/2012 SOHO-2282,S.Schmalz,C2,  
2012-,C/2012 SOHO-2284,Mulye/S.Schmalz,C2 C3,  
2012-,C/2012 SOHO-2285*,S.Schmalz,C2,  
2012-,C/2012 SOHO-2286,M.Uchina,C2,  
2012-,C/2012 SOHO-2287,S.Mulye,C2 C3,  
2012-,C/2012 SOHO-2288,B.Zhou,C2,  
2012-,C/2012 SOHO-2289,M.Uchina,C2,  
2012-,C/2012 SOHO-2290,K.Kida,C2,  
2012-,C/2012 SOHO-2292,B.Zhou,C2,  
2012-,C/2012 SOHO-2293,K.Kida,C2,  
2012-,C/2012 SOHO-2294,B.Zhou,C2,  
2012-,C/2012 SOHO-2296,S.Schmalz,C2,  
2012-,C/2012 SOHO-2297,B.Zhou,C2,  
2012-,C/2012 SOHO-2298,H.Tan,C2,  
2012-,C/2012 SOHO-2299,S.Schmalz,C2,  
2012-,C/2012 SOHO-2300,Z.Xu,C3(C2),  
2012-,C/2012 SOHO-2301,B.Zhou,C2,  
2012-,C/2012 SOHO-2302,S.Schmalz,C2 C3,  
2012-,C/2012 SOHO-2303,S.Schmalz,C2,  
2012-,C/2012 SOHO-2304,B.Zhou,C2 C3,  
2012-,C/2012 SOHO-2305,K.Kida,C2,  
2012-,C/2012 SOHO-2306,S.Schmalz,C2 C3,  
2012-,C/2012 SOHO-2307,B.Zhou,C2,  
2012-,C/2012 SOHO-2308,Z.Xu,C2,  
2012-,C/2012 SOHO-2309,A.Nakano,C2,  
2012-,C/2012 SOHO-2310,B.Zhou,C2 C3,  
2012-,C/2012 SOHO-2311,S.Liwo,C2 C3,  
2012-,C/2012 SOHO-2312,S.Schmalz,C2,  
2012-,C/2012 SOHO-2314,K.Kida,C2,  
2012-,C/2012 SOHO-2315,M.Uchina,C2 C3,  
2012-,C/2012 SOHO-2316,S.Schmalz,C2,  
2012-,C/2012 SOHO-2317,S.Schmalz,C2,  
2012-,C/2012 SOHO-2318,K.Kida/S.Schmalz,C2,  
2012-,C/2012 SOHO-2319,S.Schmalz,C2,  
2012-,C/2012 SOHO-2320,Z.Xu,C2,  
2012-,C/2012 SOHO-2321,Z.Xu,C2,  
2012-,C/2012 SOHO-2322,S.Shurpakov,C2 C3,  
2012-,C/2012 SOHO-2323,S.Schmalz,C2,  
2012-,C/2012 SOHO-2324,S.Schmalz,C2,  
2012-,C/2012 SOHO-2325,S.Schmalz,C2,  
2012-,C/2012 SOHO-2326,S.Schmalz,C3,  
2012-,C/2012 SOHO-2327,S.Schmalz,C3,  
2012-,C/2012 SOHO-2328,Z.Xu,C2 C3,  
2012-,C/2012 SOHO-2329,Z.Xu,C3,  
2012-,C/2012 SOHO-2330*,K.Kida,C3,  
2012-,C/2012 SOHO-2331,S.Schmalz,C2 C3,  
2012-,C/2012 SOHO-2334,P.Maysonet,C3,  
2012-,C/2012 SOHO-2335,S.Mulye,C3,  
2012-,C/2012 SOHO-2337,P.Maysonet,C3,  
