PERIHELION DATE ,COMET DESIGNATION ,COMET DISCOVERER ,TELESCOPE ,PERIHELION DISTANCE
2007-01-05.44,C/2007 A04 SOHO-1253,H.Su,C2 C3,0.0049
2007-01-09.98,C/2007 A05 SOHO-1254,H.Su,C3,0.0051
2007-01-18.82,C/2007 B04 SOHO-1257,H.Su,C3,0.0050
2007-01-20.16,C/2007 B05 SOHO-1258,M.-T. Hui,C3,0.0051
2007-02-01.49,C/2007 B06 SOHO-1259,H.Su,C2 C3 HI1A COR2A,0.0049
2007-02-02.47,C/2007 C03 SOHO-1260,M.Uchina,C2 C3 HI1A COR2A,0.0049
2007-02-03.66,C/2007 C04 SOHO-1262,H.Su,C3,0.0051
2007-02-04.23,C/2007 C05 SOHO-1263,H.Su,C3,0.0051
2007-02-07.25,C/2007 C06 SOHO-1264,B.Zhou,C2 C3 HI1A COR2A,0.0080
2007-02-06.45,C/2007 C08 SOHO-1265,B.Zhou,C2 C3,0.0052
2007-02-07.32,C/2007 C09 SOHO-1266,R.Matson,C3,0.0050
2007-02-08.81,C/2007 C11 SOHO-1268,H.Su,C3 HI1A,0.0050
2007-02-16.16,C/2007 C13 SOHO-1270,H.Su,C2 C3 HI1A COR2A,0.0049
2007-02-17.44,C/2007 D04 SOHO-1272,H.Su,C3 HI1A,0.0071
2007-02-19.43,C/2007 D05 SOHO-1273,A.Kubczak,C3 HI1A,0.0050
2007-03-03.48,C/2007 E04 SOHO-1274,B.Zhou,C3 HI1A,0.0051
2007-03-10.27,C/2007 E05 SOHO-1275,V.Bezugly,C3 HI1A,0.0051
2007-03-22.38,C/2007 F02 SOHO-1276,B.Zhou,C2 C3 HI1A COR2A COR2B,0.0049
2007-03-28.28,C/2007 F03 SOHO-1277,B.Zhou,C2 C3 HI1A COR2A,0.0082
2007-03-30.43,C/2007 F05 SOHO-1279,T.Hoffman,C2 HI1A,0.0050
2007-04-08.38,C/2007 G02 SOHO-1280,T.Hoffman,C2,0.0051
2007-04-19.28,C/2007 H04 SOHO-1281,B.Zhou,C2,0.0052
2007-04-21.11,C/2007 H05 SOHO-1282,R.Kracht,C2,0.0051
