Soho#,Date/Time of Post,Discoverer, Tel, Group, Images of...
XC96,Oct31 20 04:54:05, M.Biesiada, C2,Kreutz,Oct31 20
4083,Nov03 20 12:14:18, M.Biesiada, C2,Kreutz,Nov03 20
4084,Nov04 20 12:15:28, W.Boonplod,H1 C2,Kreutz,Nov04 20
4085,Nov05 20 09:42:38	,M.Biesiada,H1 C2,Kreutz,Nov05 20
4086,Nov07 20 05:17:45	,M.Biesiada,H1 C2,Kreutz,Nov07 20
4087,Nov07 20 18:26:41	,M.Biesiada, C2,Kreutz,Nov07 20
4088,Nov07 20 19:37:14	,W.Boonplod,H1 C2,Kreutz,Nov07 20
4089,Nov08 20 11:08:40, W.Boonplod, C3,Kreutz,Nov08 20
4090,Nov08 20 17:49:20, W.Boonplod,H1 C3 C2, Kreutz,Nov08-09 20
4091,Nov09 20 05:02:40, W.Boonplod,H1 C3 C2, Kreutz,Nov08-09 20
4092,Nov09 20 20:11:48	,W.Boonplod,H1 C3 C2, Kreutz,Nov09-10 20 
4093,Nov11 20 02:42:32, W.Boonplod,H1 C2,Kreutz,Nov11 12
4094,Nov13 20 03:26:56, R.Biros, H1 C2,Kreutz,Nov13 20
4095,Nov13 20 14:45:08, S.Liwo,H1 C3 C2, Kreutz,Nov13-14 20
4096,Nov14 20 14:16:20, Liwo Biesiada H1 C2,Kreutz,Nov14 20
4097,Nov15 20 04:06:57, M.Biesiada,H1 C3 C2, Kreutz,Nov15 20
4098,Nov16 20 16:22:03, W.Boonplod,H1 C2,Kreutz,Nov16 20
4099,Nov23 20 14:12:07, W.Boonplod,H1 C3 C2, Kreutz,Nov23 20
4100,Nov29 20 10:58:36, W.Boonplod, C2,Kreutz,Nov29 20
4101,Nov30 20 09:45:21, W.Boonplod,H1 C3,Kreutz,Nov30 20
4102,Dec02 20 06:27:10, M.Uchina, C2,Kreutz,Dec02 20
