Soho#,Date/Time of Post,Discoverer, Tel, Group, Images of...
4059,Sep06 20 16:30: 20,P.Sun, C3,NonGrp,Sep06-07 20
4060,Sep09 20 00:39:24	,W.Boonplod,C3,Kreutz,Sep09 20
4061,Sep09 20 05:35:19,P.Sun,C3 C2, Kreutz,Sep09-10 20
4062,Sep10 20 06:36:07,P.Sun,C3 C2, Kreutz,Sep10-11 20
4063,Sep13 20 17:18:43,W.Boonplod, C3 C2, Kreutz,Sep13-15 20
4064,Sep13 20  20:03:11,P.Sun,C3 C2, Meyer,Sep13-14 20
4065,Sep15 20 16:14:35,M.Uchina,C3 C2, Kreutz,Sep15 20
4066,Sep16 20 12:25:11,M.Biesiada, C3 C2, Kreutz,Sep16 20
4067,Sep24 20 18:21:54,W.Boonplod,C3,Kreutz,Sep24 20
4068,Sep27 20 10:35:09,S.Shurpakov,C3 C2, Kreutz,Sep27-28 20
4069,Sep29 20 16:15:54,P.Sun,C3 C2, Kreutz,Sep29-30 20
4070,Sep30 20 11:26:02,W.Boonplod, C3 C2, Kreutz,Sep30 20
4071,Oct02 20 16:51:52,W.Boonplod C2A H1 C3/2 Kreutz,Oct02-03 20
4072,Oct09 20 06:29:26,W.Boonplod, H1 C2, Kreutz,Oct08-09 20
4073,Oct12 20 07:04:08,M.Uchina,H1 C2, Kreutz,Oct11-12 20
4074,Oct13 20  20:55:01,W.Boonplod,H1 C3 C2,Kreutz,Oct13-14 20
4075,Oct14 20 22:50:13,M.Uchina, H1 C3 C2,Kreutz,Oct14-15 20
4076,Oct18 20 15:36:15,M.Uchina, C2,Kreutz,Oct18 20
4077,Oct21 20 05:17:24,W.Boonplod C2A H1 C3/2 Kreutz,Oct 20-22 20
4078,Oct24 20 16:13:55,W.Boonplod,C2,Meyer,Oct24-25 20
4079,Oct25 20 04:42:28,W.Boonplod, H1 C2, Kreutz,Oct24-25 20
4080,Oct26 20 14:10:58,W.Boonplod,C2 C3 H1,NonGrp,Oct26-28 20
4081,Oct28 20 13:42:15,M.Uchina, C2,Kreutz,Oct28 20
4082,Oct28 20 14:24:00,T.Prestgard, C2,Kreutz,Oct26 20 
