Soho#,Date/Time of Post,Discoverer,Tel,Group,Images of
3196,Sep01 2016 22:42:30	, W.Boonplod, C3 C2, Kreutz,Sep01-03 2016
3197,Sep03 2016 04:47:17	, W.Boonplod, C3,Kreutz,Sep03 2016
3198,Sep06 2016 06:50:21	, W.Boonplod, C3,Kreutz,Sep06 2016
3199,Sep12 2016 04:45:13	, W.Boonplod, C3 C2, Kreutz,Sep12-13 2016
3200,Sep15 2016 04:46:06	, P.Sun,C3 C2, Kreutz,Sep14-15 2016
3201,Sep18 2016 06:10:21	, P.Sun,C3 C2, Kreutz,Sep18-19 2016
3202,Sep26 2016 11:38:32	, S.Shurpakov,C3,Kreutz,Sep26 2016
3203,Sep26 2016 17:31:33	, W.Boonplod, C3 C2, Kreutz,Sep26 2016
3204,Sep26 2016 18:03:09	, S.Shurpakov,C3 C2, Kreutz,Sep26-28 2016
3205,Sep27 2016 22:41:22	, B.Zhou, C3 C2, Kreutz,Sep28 2016
