Soho#,Date/Time of Post,Discoverer,Tel,Group,Images of
3094,Feb04 2016 19:11:54	, T.Prestgard,C3,Kreutz,Feb04-05 2016
3095,Feb06 2016 00:56:45	, B.Zhou, C3,Kreutz,Feb05 2016
3096,Feb06 2016 15:58:28	, B.Zhou, C2,Meyer, Feb06 2016
3097,Feb10 2016 17:21:21	, M.Uchina, C3 C2, Kreutz,Feb10-12 2016
3098,Feb11 2016 10:58:50	, Z.Xu, C3,Kreutz,Feb11-12 2016
3099,Feb11 2016 17:25:15	, T.Prestgard,C3,Kreutz,Feb11 2016
3100,Feb14 2016 06:49:14	, W.Boonplod, C3,Kreutz,Feb14-15 2016
3101,Feb21 2016 01:02:24	, W.Boonplod, C3,Kreutz,Feb21 2016
