Soho#,Date / Time of Post,Discoverer,Tel,Group,Images of...
4913,Nov01 23 10:04:23,H.Tan,C2,Kreutz,Nov01 23
4914,Nov01 23 00:01:26,H.Tan,C2,Kreutz,Nov01 23
4915,Nov01 23 21:36:52,H.Tan,C3,NonGrp,Nov01-02 23
4916,Nov02 23 16:32:43,H.Tan, C3 C2, Kreutz,Nov02-03 23
4917,Nov03 23 20:05:13,H.Tan,C2,Kreutz,Nov03 23
4918,Nov04 23 16:42:13,H.Tan,C2,Kreutz,Nov04 23
4919,Nov04 23 23:52:27,H.Tan, C3 C2, Kreutz,Nov05-06 23
4920,Nov05 23 09:03:15,H.Tan,C2,Kreutz,Nov05 23
4921,Nov06 23 23:30:56,H.Tan,C2,Kreutz,Nov07 23
4922,Nov11 23 03:54:35,W.Boonplod, C3 C2, Kreutz,Nov11 23
4923,Nov12 23 09:28:00,Z.Yang,C2,Kreutz,Nov12 23
4924*, Nov17 23 03:51am, H.Tan / J.Ruan,C3 C2, Kreutz,Nov17 23
4925*, Nov17 23 09:06am, J.Ruan,C2,Kreutz,Nov17 23
4926,Nov17 23 09:11:16,Z.Yang,C2,NonGrp,Nov17 23
4927*, Nov19 23 07:52am, Z.Yang / J.Ruan,C2,Kreutz,Nov19 23
4928*, Nov20 23 12:07am, J.Ruan,C2,Kreutz,Nov20 23
4929,Nov21 23 09:05:13,J.Ruan / H.Tan,C3 C2, Kreutz,Nov21 23
4930,Nov22 23 09:28:31,J.Ruan,C3 C2, Kreutz,Nov22 23 
4931,Nov22 23 20:03:35,J.Ruan,C2,Kreutz,Nov23 23
4932,Nov22 23 21:12:12,J.Ruan,C2,Kreutz,Nov23 23
4933,Nov23 23 02:51:16,J.Ruan / H.Tan, C2,Kreutz,Nov23 23
4934,Nov23 23 04:40:00,H.Tan,C2,Kreutz,Nov23 23
4935,Nov25 23 09:15:03,H.Tan / Z.Yang, C2,Kreutz,Nov25 23
4936,Nov26 23 10:44:39,Z.Xu, C2,Kreutz,Nov26 23
4937,Nov29 23 15:30:11,H.Tan,C2,Kreutz,Nov29 23
4938,Nov30 23 09:03:04,J.Ruan,C2,Kreutz,Nov30 23
4939,Nov30 23 10:26:35,Z.Yang,C2,Kreutz,Nov30 23
