Soho#,Date/Time of Post,Discoverer,Tel,Group, Images of...
4375,Feb03 22 21:24:38, W.Boonplod, C3,Kreutz,Feb03-04 22
4376,Feb05 22 02:50:45, Z.Yang, C3,Kreutz,Feb05 22
4377,Feb05 22 10:56:41, Z.Yang, C2,Meyer, Feb05 22
4378,Feb07 22 19:38:55, W.Boonplod, C3,Kreutz,Feb07-08 22
4379,Feb07 22 21:48:29, Z.Yang, C3,Kreutz,Feb08 22
4380,Feb10 22 10:19:49, Z.Yang, C3,Kreutz,Feb10 22
4381,Feb11 22 03:08:55, W.Boonplod, C2,Meyer, Feb11 22
4382,Feb11 22 17:06:15, W.Boonplod, C3,Kreutz,Feb11-12 22
4383,Feb12 22 01:51:31, Z.Yang,C3 C2,Kreutz,Feb12 22
4384,Feb14 22 01:39:36, W.Boonplod, C3,Kreutz,Feb14 22
4385,Feb14 22 19:19:32, W.Boonplod, C3,Kreutz,Feb14 22
4386,Feb15 22 13:03:30, P.Sun/Z.Yang, C3 C2 C2A Kreutz,Feb15-16 22
4387,Feb15 22 17:40:20, R.Pickard,C3 C2 C2A Kreutz,Feb15-16 22
4388,Feb21 22 20:33:02, Boonplod/Yang,C2,Meyer, Feb22 22
4389,Feb23 22 16:55:32, H.Neto, C3,Kreutz,Feb23 22
