Soho#,Date/Time of Post,Discoverer, Tel, Group, Images of...
4155,Apr01 21 13:06:07, R.Biros,C2,Meyer, Apr01 21
4156,Apr02 21 05:35:17, W.Boonplod, C3,Kreutz,Apr02 21
4157,Apr02 21 08:12:47, M.Uchina, C2,Kreutz,Apr01 21
4158,Apr02 21 10:40:50, M.Uchina, C2,Kreutz,Apr01 21
4159,Apr07 21 10:06:29, P.Sun, C3 C2,Kreutz,Apr07 21
4160,Apr07 21 10:29:41, S.Liwo, C2,Kreutz,Apr07 21
4161,Apr08 21 13:00:16, S.Liwo, C2,Kreutz,Apr08 21
4162,Apr10 21 01:02:22, W.Boonplod,C3 C2,Kreutz,Apr10 21
4163,Apr11 21 01:35:41, W.Boonplod,C3 C2,Kreutz,Apr11 21
4164,Apr13 21 00:33:51, W.Boonplod, C2,Kreutz,Apr13 21
4165,Apr13 21 10:35:43, S.Liwo,C3 C2,Kreutz,Apr13-14 21
4166,Apr14 21 07:24:25, P.Sun, C3 C2,Kreutz,Apr14 21
4167,Apr14 21 07:24:30, M.Uchina, C2,Kreutz,Apr14 21
4168,Apr15 21 07:28:07, M.Uchina, C2,Kreutz,Apr14 21
4169,Apr16 21 06:41:51, M.Uchina, C2,Kreutz,Apr15 21
4170,Apr16 21 16:06:52, M.Uchina, C2,Kreutz,Apr16 21
4171,Apr18 21 04:19:29, S.Liwo, C2,Kreutz,Apr18 21
4172,Apr20 21 05:08:58, W.Boonplod, C2,Kreutz,Apr19 21
4173,Apr20 21 12:53:40, S.Liwo, C2,Kreutz,Apr21 21
4174,Apr21 21 05:41:10, W.Boonplod,C3 C2,Kreutz,Apr21-22 21
4175,Apr21 21 13:29:09, S.Liwo, C2,Kreutz,Apr21 21
4176,Apr24 21 15:20:42, W.Boonplod, C2,Kreutz,Apr24 21
4177,Apr24 21 16:29:28, W.Boonplod, C2,Kreutz,Apr24-25 21
4178,Apr29 21 18:48:29, W.Boonplod, C3,Kreutz,Apr29 21
4179,Apr30 21 12:14:40, W.Boonplod, C2,Kreutz,Apr30 21
4180,Apr27 21 02:04:41, P.Berrett,C2,NonGrp,Feb20 06
4181,Feb26 21 11:55:07, T.Prestgard,C3,Kreutz,Aug15 18
4182,Mar27 21 07:44:26, T.Prestgard,C3,Kreutz,Mar04 18
