Soho#,Date/Time of Post,Discoverer,Tel,Group, Images of...
4490,Jul04 22 08:01:30,Z.Yang,C3 C2, Kreutz,Jul04 22
4491,Jul09 22 16:32:38,H.Tan, C2,Kreutz,Jul09 22
4492,Jul11 22 08:38:52,W.Boonplod,C3 C2 C2A,Kreutz,Jul11-13 22
4493,Jul11 22 14:38:12,H.Tan, C3,Kreutz,Jul11 22
4494*,Jul10 22 09:52am, J.Ruan/W.Zhou,C2,Meyer,Jul11 22
4495,Jul12 22 12:14:01,Z.Xu,C3,Kreutz,Jul12 22
4496,Jul13 22 22:33:26,H.Tan,C3 C2,Kreutz,Jul14 22
4497,Jul14 22 22:55:16,Z.Yang,C3,Kreutz,Jul15 22
4498,Jul19 22 02:23:11,W.Boonplod,C3 C2,Marsden, Jul19-20 22
4499,Jul19 22 03:15:56,W.Boonplod,C3,Kreutz,Jul19 22
4500,Jul22 22 08:35:33,W.Boonplod,C3,Kreutz?, Jul22 22
4501,Jul23 22 06:51:02,Z.Yang,C3,Kreutz,Jul23 22
4502,Jul26 22 01:28:18,Z.Yang, C3 C2,Kreutz,Jul26-27 22
4503,Jul27 22 00:06:39,Z.Yang,C2,Meyer,Jul27 22
4504*,Jul29 22 08:55PM, W.Boonplod,C3,Kreutz,Jul29-30 22
4505*,Jul30 22 08:54AM, J.Ruan/W.Zhou,C3,Kreutz,Jul30 22
4506*,Jul31 22 02:30AM, Z.Yang,C3,Kreutz,Jul31 22
