Soho#,Date/Time of Post,Discoverer, Tel, Group, Images of...
XC97,Feb02 21 02:37:34	,P.Bhagat, C3,NonGrp?, Feb02 21
4129,Feb11 21 10:54:03, W.Boonplod, C3,Kreutz,Feb11-12 21
4130,Feb11 21 11:30:35, W.Boonplod, C3,Kreutz,Feb11-12 21
4131,Feb12 21 05:21:14, W.Boonplod, C3,Kreutz,Feb12 21
4132,Feb13 21 21:43:35, W.Boonplod, C3 C2A,NonGrp,Feb13-16 21
4133,Feb14 21 05:34:01, S.Liwo, C3,Kreutz,Feb14 21
4134,Feb23 21 05:28:12, P.Berrett,C2,NonGrp,Feb19 21
4135,Feb24 21 01:30:59, W.Boonplod, C3,Kreutz,Feb24 21
4136,Feb24 21 22:59:36, W.Boonplod, C3,Kreutz,Feb24-25 21
4137,Feb25 21 19:35:34, W.Boonplod, C3,Kreutz,Feb25-26 21
4138,Feb26 21 16:56:02, W.Boonplod, C3,Kreutz,Feb26-27 21
4139,C/2021 D1 (SWAN),M.Mattiazzo, SWAN, NonGrp,N/A 
