Soho#,Date/Time of Post,Discoverer,Tel,Group, Images of...
4409*, Apr02 22 08:25PM, H.Tan,C2,Kreutz,Apr02-03 22
4410,Apr05 22 16:50:25,H.Tan,C2,Meyer,Apr05 22
4411,Apr07 22 12:28:36,Z.Yang/ Z.Xu,C2,Kreutz,Apr07 22
4412,Apr15 22 05:52:36,H.Tan,C2,Kreutz,Apr15 22
4413,Apr16 22 21:00:27,Z.Xu,C2,Kreutz,Apr16 22
4414,Apr18 22 12:28:50,Z.Xu,C2,Kreutz,Apr18 22
4415,Apr19 22 13:29:44,R.Biros/ Z.Xu,C2,Kreutz,Apr19 22
4416,Apr20 22 02:53:35,Z.Yang/ P.Sun,C2,Kreutz,Apr20 22
4417,Apr20 22 20:56:35,Z.Xu,C2,Kreutz,Apr20 22
4418,Apr23 22 10:35:29,Z.Xu,C2,Kreutz,Apr23 22
4419,Apr26 22 09:01:23,Z.Xu,C3,NonGrp,Apr26 22
4420,Apr28 22 16:43:47,H.Tan,C2,Kreutz,Apr28 22
4421,Apr29 22 19:29:53,H.Tan,C2,Kreutz,Apr29-30 22
