Soho#,Date/Time of Post,Discoverer,Tel,Group,Images of...
4599,Jan01 23 20:57:41, J.Ruan,C2,NonGrp,Jan01-02 23
4600,Jan02 23 23:56:50, Z.Yang,C3 C2,Kreutz,Jan03-04 23
4601,Jan03 23 17:06:31, W.Boonplod,C3 C2,Kreutz,Jan03-04 23
4602,Jan07 23 06:54:53, W.Boonplod, C3,Kreutz,Jan07 23
4603,Jan08 23 16:18:00, T.Prestgard,C3,Kreutz,Jan08 23
4604,Jan10 23 18:32:48, H.Tan, C3,Kreutz,Jan10-11 23
4605,Jan14 23 00:31:34, W.Boonplod,C3 C2,Kreutz,Jan14 23
4606,Jan16 23 00:59:52, Z.Yang,C3,Kreutz,Jan16 23
4607,Jan18 23 11:24:03, Z.Yang,C3,Kreutz,Jan18 23
4608,Jan24 23 11:40:25, Z.Yang,C3,Kreutz,Jan24-25 23
4609,Jan26 23 19:21:20, W.Boonplod, C2,Meyer, Jan26 23
4610,Sep02 22 10:45:44, Z.Yang,C2,Kreutz,May20 97
4611,Sep03 22 02:20:58, Z.Yang,C2,Kreutz,May08 97
4612,Sep04 22 09:52:04, Z.Yang,C2,Kreutz,May11-12 97
4613,Sep04 22 01:34:24, J.Ruan / W.Zhou,C2,Kreutz,Oct05 97
4614,Sep04 22 01:37:44, J.Ruan / W.Zhou,C2,Kreutz,Oct26 97
4615,Sep04 22 11:51:38, J.Ruan / W.Zhou,C2,Kreutz,Nov11 97
4616,Sep03 22 15:45:08, H.Tan, C2,Kreutz,Dec08 97
4617,Sep03 22 08:13:59, H.Tan, C2,Kreutz,Apr28 98
4618,Sep03 22 07:42:04, H.Tan, C2,Kreutz,Apr28 98
4619,Sep03 22 09:28:34, H.Tan, C2,Kreutz,May07 98
4620,Oct16 22 01:12:03, J.Ruan / W.Zhou,C2,Kreutz,May17 98
4621,Sep03 22 05:27:31, J.Ruan / W.Zhou,C2,Kreutz,May06-07 98
4622,Sep04 22 01:39:51, J.Ruan / W.Zhou,C2,Kreutz,Jun13 98
4623,Sep03 22 09:56:53, J.Ruan / W.Zhou,C2,Kreutz,Jun18 98
4624,Sep03 22 09:56:53, J.Ruan / W.Zhou,C2,Kreutz,Nov28 98
4625,Sep03 22 00:09:00, J.Ruan / W.Zhou,C2,Kreutz,Dec06 98
