Soho#,Date/Time of Post,Discoverer,Tel,Group, Images of...
4244,Jul19 21 11:59:06,R.Biros,C2,Kreutz,Apr19 01
4245,May16 21 05:41:50,P.Berrett,C2,NonGrp,Jan13 04
4246,Jul13 21 06:29:35,R.Biros,C2,Kreutz,May23 06
4247,Jul02 21 23:57:39,T.Prestgard,C2,Kreutz,Jul02 06
4248,Jul04 21 12:41:50,R.Pickard,C2,Kreutz,May23 07
4249,Jul05 21 21:01:31,R.Pickard,C2,Kreutz,Oct24 07
4250,Dec06 07 10:02:56,S.Yuan,C2,Kreutz,Dec06 07
4251,Aug20 21 09:14:29,P.Berrett,C2,Marsden ,Mar16 11
4252,Aug05 21 09:55:00,P.Berrett,C2,NonGrp,Jul01 12
4253,Jul25 21 05:01:55,P.Berrett,C2,NonGrp,Mar14 14
4254,Jul28 21 02:17:35,R.Pickard,C2,Kreutz,May20 16
4255,Aug25 21 09:59:49,P.Berrett,C2,NonGrp,Sep14 16
4256,Aug29 21 09:26:39,P.Berrett,C2,NonGrp,Dec04 17
4257,May02 18 06:40:22,W.Boonplod, C2,Kreutz,May02 18
4258,Jul23 21 15:12:40,R.Pickard,C2,Kreutz,May07-08 18
4259,Jul19 21 02:02:17,R.Pickard,C2,Kreutz,May08 18
4260,May10 18 17:32:07,W.Boonplod,C3 C2, Kreutz,May10 18
4261,Aug27 21 05:18:18,R.Pickard,C2,Kreutz,May13 18
4262,Jul25 21 08:49:54,R.Biros,C2,Kreutz,Oct03 19
4263,Aug29 21 10:53:11,P.Berrett,C2,NonGrp,Dec23 17
4264,Aug07 21 22:38:41,W.Boonplod, C3,Kreutz,Aug07-08 21
4265,Aug09 21 01:37:56,W.Boonplod,C3 C2, Kreutz,Aug08-10 21
4266,Aug11 21 04:22:32,T.Prestgard,C2,Meyer,Aug11 21
4267,Aug13 21 23:17:46,W.Boonplod, C3,Kreutz,Aug14 21
4268,Aug14 21 00:10:43,P.Berrett,C2,NonGrp,Aug03 21
4269,Aug22 21 07:02:34,P.Sun,H1 C3, Kreutz,Aug21-22 21
4270,Aug24 21 16:14:54,M.Uchina, C3,Kreutz,Aug24 21
4271,Aug26 21 16:38:08,M.Uchina, C3,Kreutz,Aug26 21
4272,Aug27 21 03:52:52,Boonplod /Sun, H1 C3 C2,Kreutz,Aug26-28 21
