Soho#,Date / Time of Post,Discoverer,Tel,Group,Images of...
5097,Sep01 24 02:03:54,J.Ruan,C3,Kreutz,Sep01 24
5098,Sep02 24 02:38:58,J.Ruan,C3,Kreutz,Sep02 24
5099,Sep04 24 02:42:17,R.Pickard,C3,Kreutz,Sep04 24
5100,Sep08 24 15:16:44,R.Pickard, C3 C2A C2, Kreutz,Sep08-12 24 
5101,Sep09 24 13:56:43,J.Ruan,C3,Kreutz,Sep09 24
5102,Sep10 24 18:52:44,J.Ruan,C3,Kreutz,Sep10 24
5103,Sep15 24 01:35:29,J.Ruan,C3,Kreutz,Sep15 24
5104,Sep15 24 07:33:57,J.Ruan,C3,Kreutz,Sep15 24
5105,Sep15 24 08:43:10,J.Ruan,C2,NonGrp,Sep15 24
5106,Sep16 24 17:25:42,H.Tan,C3 C2,Kreutz,Sep16-17 24 
5107,Sep22 24 07:43:18,E.Banach,C2,Meyer,Sep22 24
5108,Sep27 24 19:40:02,H.Tan,C3 C2,Kreutz,Sep27-28 24
5109,Aug23 03 19:18:19,J.Sachs, C3,Kreutz,Aug23 03
