Soho#,Date/Time of Post,Discoverer,Tel,Group,Images of
3662,Dec01 2018 04:17:25	,Boonplod/Tan, C2, Kreutz,Dec01 2018
3663,Dec01 2018 14:19:34	,H.Tan, H1 C2, Kreutz,Dec01 2018
3664,Dec04 2018 04:07:34, W.Boonplod, C2, Marsden, Dec04 2018
3665,Dec05 2018 03:58:08	,H.Tan, H1 C2, Kreutz,Dec04-05 2018
3666,Dec06 2018 05:47:24, W.Boonplod,H1 C3 C2,Kreutz,Dec05-06 2018
3667,Dec07 2018 15:28:30, R.Kracht, C2, NonGrp,Dec07 2018
3668,Dec09 2018 10:48:36, H.Tan, H1 C2, Kreutz,Dec09 2018
3669,Dec09 2018 12:13:55	,W.Boonplod,H1 C3 C2,Kreutz,Dec09-10 2018
3670,Dec10 2018 14:57:31, W.Boonplod,H1 C3 C2,Kreutz,Dec10-12 2018
3671,Dec12 2018 12:26:57	,W.Boonplod,H1 C3 C2,Kreutz,Dec12-13 2018
3672,Dec12 2018 14:57:31	,W.Boonplod, H1 C2,,Kreutz,Dec12 2018
3673,Dec13 2018 01:35:54	,M.Uchina,H1 C3 C2,Kreutz,Dec12-13 2018
3674,Dec14 2018 10:51:29	,W.Boonplod, H1 C2,Kreutz,Dec13-14 2018
3675,Dec19 2018 03:28:05	,W.Boonplod,H1 C3 C2,Kreutz,Dec18-19 2018
3676,Dec21 2018 22:56:02, W.Boonplod, H1 C2,Kreutz,Dec21-22 2018
3677,Dec24 2018 16:54:07	,M.Uchina, H1 C2,Kreutz,Dec23-24 2018
