Soho#,Date/Time of Post,Discoverer, Tel, Group, Images of...
3908,Mar06 2020 20:17:06, W.Boonplod,C3 C2,Kreutz,Mar06-07 2020
3909,Mar08 2020 01:20:16, W.Boonplod, C2,Meyer, Mar08 2020
3910,Mar08 2020 14:35:31, W.Boonplod, C2,Meyer, Mar08 2020
3911,Mar09 2020 23:24:00	,M.Uchina, C3,Kreutz,Mar10 2020
3912,Mar10 2020 13:15:57, K.Kida,C3 C2,Kreutz,Mar10-11 2020 
3913,Mar12 2020 03:49:07, W.Boonplod,C3 C2,Kreutz,Mar12 2020
3914,Mar12 2020 17:10:17, M.Uchina, C2,Kreutz,Mar12 2020
3915,Mar13 2020 21:40:50, W.Boonplod,C3 C2,Kreutz,Mar13-14 2020
3916,Mar14 2020 23:12:25, W.Boonplod, C3,Kreutz,Mar14-15 2020
3917,Mar18 2020 07:27:29, M.Kusiak,C3 C2,Kreutz,Mar18-19 2020
3918,Mar22 2020 22:58:42, W.Boonplod,C3 C2,Kreutz,Mar22-23 2020
3919,Mar23 2020 06:44:49, M.Uchina, C2,Kreutz,Mar23 2020
3920,Mar26 2020 22:31:36, W.Boonplod, C2,Kreutz,Mar26 2020
3921,Mar27 2020 21:25:53, W.Boonplod, C2,Meyer, Mar27 2020
