Soho#,Date/Time of Post,Discoverer, Tel, Group, Images of...
4045,Aug02 20 19:40:45, W.Boonplod, C3,Kreutz,Aug02 20
4046,Aug06 20 00:28:58, W.Boonplod, C3/C2/H1,NonGrp,Aug05-09 20
4047,Aug06 20 15:40:29, W.Boonplod,C3/C2,NonGrp,Aug06-07 20
4048,Aug07 20 00:44:49, P.Berrett,C2,Meyer, Aug02 20
4049,Aug07 20 08:27:36, W.Boonplod, C2,NonGrp,Aug07 20	
4050,Aug11 20 17:51:34, M.Biesiada, C3,Kreutz,Aug11-12 20
4051,Aug13 20 00:09:51, M.Uchina, C3,Kreutz,Aug13 20
4052,Aug13 20 02:21:47, M.Uchina, C3,Kreutz,Aug13 20
4053,Aug17 20 12:12:42, M.Biesiada, C3,Kreutz,Aug17 20
4054,Aug21 20 17:31:47, S.Shurpakov, C3/C2/C2A,Kreutz,Aug21-22 20
4055,Aug25 20 07:55:18, W.Boonplod, C2,Kracht,Aug24 20
4056,Aug25 20 18:02:11, J.Liu,P.sun C3/C2/C2A,Kreutz,Aug25-27 20
4057,Aug29 20 03:12:33	,W.Boonplod, C3,Kreutz,Aug29 20
4058,Aug31 20 00:16:34	,P.Sun,C3,Kreutz,Aug31 20
