Soho#,Date/Time of Post,Discoverer, Tel, Group, Images of...
4059,Sep06 20 16:30:20, P.Sun,C3,NonGrp,Sep06-07 20
4060,Sep09 20 00:39:24	,W.Boonplod, C3,Kreutz,Sep09 20
4061,Sep09 20 05:35:19, P.Sun, C3 C2,Kreutz,Sep09-10 20
4062,Sep10 20 06:36:07, P.Sun, C3 C2,Kreutz,Sep10-11 20
4063,Sep13 20 17:18:43, W.Boonplod,C3 C2,Kreutz,Sep13-15 20
4064,Sep13 20 20:03:11, P.Sun, C3 C2,Meyer, Sep13-14 20
4065,Sep15 20 16:14:35, M.Uchina,C3 C2,Kreutz,Sep15 20
4066,Sep16 20 12:25:11, M.Biesiada,C3 C2,Kreutz,Sep16 20
4067,Sep24 20 18:21:54, W.Boonplod, C3,Kreutz,Sep24 20
4068,Sep27 20 10:35:09, S.Shurpakov, C3 C2,Kreutz,Sep27-28 20
4069,Sep29 20 16:15:54, P.Sun, C3 C2,Kreutz,Sep29-30 20
4070,Sep30 20 11:26:02, W.Boonplod,C3 C2,Kreutz,Sep30 20
