Discoverer,Date,Type,Tel/Camera
Jiangao Ruan,2023-08-14,Kreutz,C3
Jiangao Ruan,2023-08-13,Non-Group,C2
Jiangao Ruan,2023-08-11,Meyer,C2
Worachate Boonplod,2023-08-11,Meyer,C3
Jiangao Ruan,2000-02-29,Marsden,C2
Jiangao Ruan,2000-03-01,Kreutz,C2
Jiangao Ruan,2010-09-18,Kreutz,C2
Jiangao Ruan,2003-09-26,Kreutz,C2
Zhijian Xu,2023-08-04,Kreutz,C3
