Discoverer,Date,Type,Tel/Camera
Michal Biesiada,	2021-05-14	,Non-Group	,C2
Worachate Boonplod,2021-05-13,	Kreutz	,C2
Peter Berrett,2009-04-24	,Kreutz,C2
Masanori Uchina	,2021-05-12	,Kreutz,C2
Worachate Boonplod	,2021-05-11	,	Meyer	,C2
Worachate Boonplod	,2021-05-11	,Kreutz,C2
Worachate Boonplod	,2021-05-10	,Kreutz	,C2
Trygve Prestgard	,2021-05-07	,Kreutz,C2
Szymon Liwo	,2021-05-07	,Kreutz,C3
Worachate Boonplod,2021-05-05,Kreutz,C2
