Discoverer,Date,Type,Tel/Camera
Jiangao Ruan,2023-09-30,,C3 C2
Worachate Boonplod,2023-09-30,Meyer,C2
Jiangao Ruan,2023-09-27,Kreutz,C3
Jiangao Ruan,2023-09-27,Kreutz,C3
Jiangao Ruan,2023-09-26,Kreutz,C3
Zesheng Yang,2023-09-23,Kreutz,C3
Robert Pickard,2023-06-11,Kreutz,C2
Robert Pickard,2023-09-17,Kreutz,C3
Robert Pickard,2023-09-14,Non-Group,C3
Worachate Boonplod,2023-09-12,Kreutz,C3
Jiangao Ruan,2023-09-11,Non-Group,C2
Robert Pickard,2023-09-12,Kreutz,C3
Robert Pickard,2023-09-06,Kreutz,C3
Zesheng Yang,2023-09-04,Kreutz,C3
