Discoverer,Date,Type,Tel/Camera
Masanori Uchina	,2021-04-16	,Kreutz	,C2
Masanori Uchina	,2021-04-15	,Kreutz,C2
Masanori Uchina,	2021-04-14,Kreutz,C2
Peiyuan Sun	,2021-04-14	,	Kreutz,C3
Szymon Liwo	,2021-04-13	,	Kreutz,C3
Worachate Boonplod,2021-04-13,Kreutz,C2
Worachate Boonplod,2021-04-11,Kreutz,C3 C2
Worachate Boonplod,2021-04-10,Kreutz,C3 C2
Szymon Liwo,2021-04-08,Kreutz,C2
Szymon Liwo,2021-04-07,Kreutz,C2
Peiyuan Sun,2021-04-07,Kreutz,C3
Masanori Uchina	,2021-04-01	,Kreutz,	C2
Masanori Uchina	,2021-04-01	,	Kreutz,	C2
Worachate Boonplod,	2021-04-02,	Kreutz,	C3
Rafal Biros,	2021-04-01,	Kreutz,	C2
