Discoverer,Date,Type,Tel/Camera
Zesheng Yang,2022-11-20,Kreutz,C2
Zesheng Yang,2022-11-19,Kreutz,C2
Shaoxiong Gu,2022-11-17,Kreutz,C2
Jiangao Ruan,2022-11-17,Kreutz,C2
Zesheng Yang,2022-11-17,Kreutz,C2
Worachate Boonplod,2022-11-15,Meyer,C2
Zesheng Yang,2022-11-15,Kreutz,C2
Zesheng Yang,2022-11-14,Kreutz,C2
Zesheng Yang,2022-11-11,Kreutz,C3
Zesheng Yang,2022-11-10,Kreutz,C2
Zesheng Yang,2022-11-10,Kreutz,C2
Jiangao Ruan,2022-11-10,Kreutz,C2
Robert Pickard,2022-11-09,Possible Fragment/Companion	Kreutz,C2
Jiangao Ruan,2022-11-08,Possible Fragment/Companion	Kreutz,C3
Zesheng Yang,2022-11-08,Meyer,C2
Zesheng Yang,2022-11-07,Kreutz,C3
Zesheng Yang,2022-11-06,Meyer,C2
Zesheng Yang,2022-11-06,Kreutz,C2
Jiangao Ruan,2022-11-06,Kreutz,C2
Jiangao Ruan,2022-11-05,Kreutz,C2
Zesheng Yang,2022-11-06,Kreutz,C2
Worachate Boonplod,2022-11-05,Kreutz,C3
Zesheng Yang,2022-11-05,Kreutz,C2
Worachate Boonplod,2022-11-04,Kreutz,C3
Jiangao Ruan,2022-11-03,Kreutz,C2
Zesheng Yang,2022-11-03,Kreutz,C2
