Discoverer,Date,Type,Tel/Camera
Robert Pickard,2016-05-20	,	Kreutz,	C2
Worachate Boonplod,2021-07-27	,Kreutz,	C3
Rafal Biros,2019-10-03	,Kreutz,C2
Peter Berrett,2014-03-14,Non-Group,C2
Robert Pickard,2018-05-07,Kreutz,C2
Worachate Boonplod,2021-07-20,Kreutz,C3
Rafal Biros,2001-04-19	,Kreutz,C2
Worachate Boonplod,2021-07-19,Kreutz,C3
Robert Pickard,2018-05-08	,Kreutz,C2
Masanori Uchina,2021-07-16	,Kreutz,C3
Sergey Shurpakov,2021-07-14	,Kreutz,C3
Worachate Boonplod,2021-07-13,	Meyer	,C2
Worachate Boonplod,2021-07-13	,	Non-Group,	C3
Salil Mulye,2021-07-13	,Kreutz,C3
Rafal Biros,2006-05-23	,Kreutz,C2
Robert Pickard,2007-05-23	,Kreutz,C2
Worachate Boonplod,2021-07-04	,Kreutz,C3
Worachate Boonplod,2021-07-03	,Non-Group,C2
Trygve Prestgard,2006-07-02	,Kreutz,C2
Worachate Boonplod,2021-07-03	,Kreutz,C3
