Discoverer,Date,Type,Tel/Camera
Zhijian Xu,2022-04-23,Kreutz,C2
Zhijian Xu,2022-04-20,Kreutz,C2
Peiyuan Sun,2022-04-20,Kreutz,C2
Zesheng Yang,2022-04-20,Kreutz,C2
Zhijian Xu,2022-04-19,Kreutz,C2
Rafal Biros,2022-04-19,Kreutz,C2
Zhijian Xu,2022-04-18,Kreutz,C2
Zhijian Xu,2022-04-16,Kreutz,C2
Peter Berrett,2016-07-24,Non-Group,C2
Hanjie Tan,2022-04-15,Kreutz,C2
Peter Berrett,2016-02-15,Non-Group,C2
Zhijian Xu,2022-04-07,Kreutz,C2
Zesheng Yang,2022-04-07,Kreutz,C2
Hanjie Tan,2022-04-05,Meyer,C2
Hanjie Tan,2022-04-02,Kreutz,C2
