Discoverer,Date,Type,Tel/Camera
Michal Biesiada,2021-06-30,,C2
Rafal Biros,2021-06-29,Kreutz,C2
Rafal Biros,2021-06-29,Kreutz,C2
Robert Pickard,2021-06-28,Kreutz,C2
Robert Pickard,2021-06-29	,Kreutz,C2
Rafal Biros,2021-06-27,Kreutz,C2
Michal Biesiada,2021-06-27,Kreutz,C3
Michal Biesiada,2021-06-27,Kreutz,C2
Masanori Uchina,2021-06-25	,Kreutz,C2
Worachate Boonplod,2021-06-26	,Kreutz,C3
Rafal Biros,2021-06-26	,Kreutz,C2
Masanori Uchina,2021-06-25	,	Kreutz,C2
Robert Pickard	,2021-06-25	,	Kreutz,C2
Masanori Uchina	,2021-06-23	,	Kreutz,C2
Robert Pickard	,2021-06-21	,Kreutz,C2
Worachate Boonplod,2021-06-21,	Kreutz,C3
Masanori Uchina,2021-06-18	,Kreutz,C2
Worachate Boonplod,2021-06-14,	Kreutz,C2
Masanori Uchina,2021-06-12	,Kreutz,C2
Michal Biesiada,2021-06-13,Kreutz,C2
Michal Biesiada,2021-06-13,Kreutz,C2
Worachate Boonplod,2021-06-10,Kreutz,C3
Worachate Boonplod,2021-06-10	,Kreutz,C3
Robert Pickard,2021-06-10,Kreutz,C2
Robert Pickard,2021-06-09	,Kreutz,C2
Worachate Boonplod,2021-06-09	,Kreutz,C2
Masanori Uchina,2021-06-03	,Kreutz,C2
Masanori Uchina,2021-06-03	,	Kreutz,C2
Robert Pickard,2021-06-04	,	Kreutz,C2
Trygve Prestgard,2018-06-16	,	Kreutz,C2
Worachate Boonplod,	2021-06-02,	Kreutz,C2
Rafal Biros	,2021-06-03	,Kreutz,C2
