Discoverer,Date,Type,Tel/Camera
Robert Pickard,2018-05-13,Kreutz,C2
Worachate Boonplod,2021-08-27,Kreutz,C3
Masanori Uchina,2021-08-26,Kreutz,C3
Peter Berrett,2016-09-14,Non-Group,C2
NEW USER,2021-08-24,Kreutz,C3
Peiyuan Sun,2021-08-22,Kreutz,C3
Peiyuan Sun,2021-08-22,Non-Group,C3
Peter Berrett,2011-03-16,Meyer,C2
Peter Berrett,2021-08-03,Non-Group,C2
Worachate Boonplod,2021-08-14	,Kreutz,C3
Trygve Prestgard,2021-08-11,Meyer,C2
Worachate Boonplod,2021-08-09,Kreutz,C3
Worachate Boonplod,2021-08-08,Kreutz,C3
Peter Berrett,2012-07-01,Non-Group,C2
