Discoverer,Date,Type,Tel/Camera
Zesheng Yang,2023-01-18,Kreutz,C3
Zesheng Yang,2023-01-16,Kreutz,C3
Worachate Boonplod,2023-01-14,Kreutz,C3
Hanjie Tan,2023-01-10,Kreutz,C2
Trygve Prestgard,2023-01-08,Kreutz,C3
Worachate Boonplod,2023-01-07,Kreutz,C3
Worachate Boonplod,2023-01-03,Kreutz,C3
Zesheng Yang,2023-01-03,Kreutz,C3
Jiangao Ruan,2023-01-02,Non-Group,C2
