Confirmation date,Confirmed by,Tel,Discovery report date,Group
2021-03-20,Szymon Liwo/Michal Biesiada,C3,2021-03-20,Kreutz
Mar 15 2021 08:26:30,Worachate Boonplod, C2, 2021-03-15 06:57:24,Kreutz group comet
Mar 15 2021 00:23:27,Trygve Prestgard,C3,2021-03-13 10:04:10,Kreutz group comet
Mar 11 2021 16:30:46,Worachate Boonplod,C3, 2021-03-11 16:19:49,Kreutz group comet
Mar 08 2021 13:03:32,Sergey Shurpakov,C3,2021/03/08 10:32:03,Kreutz group comet
Mar 06 2021 10:22:14,Szymon Liwo, C3, 21-3-6 09:46:18,Kreutz group comet
Mar 04 2021 05:52:04,Trygve Prestgard,C3, 2021-03-04 02:31:16,Kreutz group comet
