Confirmation date, Confirmed by, Tel, Discovery report date, Group
Aug 29 2020 03:32:23,Peiyuan Sun,C3,20200829 03:12:33,Kreutz group comet
Aug 25 2020 18:11:26,Worachate Boonplod,C3,2020-08-25 18:02:12,Kreutz group comet
Aug 25 2020 18:08:31,Peiyuan Sun,C3,20200825 18:02:11,Kreutz group comet
Aug 25 2020 09:59:03,Peiyuan Sun,C2, 20200825 07:55:18,Kracht group comet
Aug 21 2020 17:45:01,Michal Biesiada, C3,20-8-21 17:31:47,Kreutz group comet
Aug 17 2020 12:30:56,Peiyuan Sun,C3, 20200817 12:12:42,Kreutz group comet
Aug 13 2020 08:38:23,Worachate Boonplod,C3, 2020-08-13 00:09:51,Kreutz group comet
Aug 13 2020 08:27:11,Worachate Boonplod,C3,2020-08-13 02:21:47,Kreutz group comet
Aug 11 2020 18:43:05,Worachate Boonplod, C3, 2020-08-11 17:51:34,Kreutz group comet
Aug 07 2020 09:00:18,Michal Biesiada, C2,20-8-7 08:27:36,Non-group comet
Aug 07 2020 01:15:54,Worachate Boonplod,C2, 2020-08-07 00:44:49,Meyer group comet
Aug 06 2020 18:45:07,Michal Biesiada,C3,20-8-6 15:40:29,Non-group comet
Aug 06 2020 01:18:56,Zhijian Xu,C3, 20200806 00:28:58,Non-group comet
Aug 03 2020 08:26:39,Masanori Uchina,C3, 2020/8/2 19:40:95,Kreutz group comet
