Confirmation date, Confirmed by, Tel, Discovery report date, Group
Jun 18 2020 08:54:11,Michal Biesiada,C2,20-6-18 07:37:39,Kreutz group comet
Jun 17 2020 18:30:25,Michal Biesiada,C2,20-6-18 18:16:49,Kreutz group comet
Jun 17 2020 06:54:45,Masanori Uchina,C2, 2020/6/16 19:48:58,Kreutz group comet
Jun 16 2020 16:41:45,Michal Biesiada,C2, 20-6-16 16:34:53,
Jun 16 2020 16:40:59,Michal Kusiak,C2, 20200616 16:34:53,Meyer group comet
Jun 16 2020 15:30:14,Michal Kusiak,C3, 20200616 15:17:23,Kreutz group comet
Jun 15 2020 17:55:15,Michal Biesiada,C2,20-6-15 17:43:06,Kreutz group comet
Jun 15 2020 10:42:34,Michal Biesiada,C3,20-6-15 09:19:03, Kreutz group comet
Jun 15 2020 10:35:45,Worachate Boonplod,C3, 2020-06-15 09:19:03,Kreutz group comet
Jun 15 2020 07:45:55,Michal Biesiada,C3,20-6-14 23:54:47,Kreutz group comet
Jun 15 2020 00:57:31,Michal Kusiak,C3, 20200614 23:54:47,Kreutz group comet
Jun 14 2020 19:07:53,Michal Kusiak,C2, 20200614 17:42:17,Kreutz group comet
Jun 09 2020 13:05:34,Trygve Prestgard,C2, 2020-06-09 12:52:26,
Jun 09 2020 13:04:57,Trygve Prestgard,C2,2020-06-09 12:46:09,Kreutz group comet
Jun 09 2020 13:04:13,Trygve Prestgard,C2, 2020-06-09 12:43:02,Kreutz group comet
Jun 09 2020 10:15:04,Worachate Boonplod,C2, 2020-06-09 09:31:33,Kreutz group comet
Jun 09 2020 09:11:30,Worachate Boonplod,C2, 2020-06-09 08:40:10,Kreutz group comet
Jun 08 2020 11:45:26,Worachate Boonplod,C2,2020-06-08 03:08:08,Kreutz group comet
Jun 08 2020 11:20:31,Michal Biesiada,C2,2020-6-8 06:29:24,Kreutz group comet
Jun 08 2020 00:50:54,Worachate Boonplod,C2, 2020-06-07 23:30:27,Kreutz group comet
Jun 07 2020 11:03:47,Worachate Boonplod,C2, 2020-06-07 10:40:50,Kreutz group comet
Jun 06 2020 21:15:53,Masanori Uchina,C2, 2020/6/6 20:36:46,Kreutz group comet
Jun 06 2020 19:46:34,Michal Biesiada,,2020-6-6 18:47:39,
Jun 06 2020 11:06:16,Worachate Boonplod,C2, 2020-06-06 09:30:49,Kreutz group comet
Jun 06 2020 03:31:09,Szymon Liwo,C2, 2020-06-06 23:25:42,Kreutz group comet
Jun 04 2020 19:16:13,Masanori Uchina,C3, 2020/6/4 17/38/45,Kreutz group comet
Jun 03 2020 11:22:17,Worachate Boonplod,C2, 2020-06-03 06:53:16,Kreutz group comet
Jun 03 2020 08:16:55,Masanori Uchina,C2, 2020/6/2 17:06:59,Kreutz group comet
Jun 02 2020 05:39:24,Michal Kusiak,C2, 20200602 00:22:47,Kreutz group come
Jun 01 2020 01:06:42,Worachate Boonplod,C2, 2020-05-31 23:57:24,Kreutz group comet
