Confirmation date, Confirmed by, Tel, Discovery report date, Group
Sep 29 2020 16:48:29,Sergey Shurpakov,C3,2020/09/29 16:15:54,Kreutz group comet
Sep 27 2020 10:48:55,Worachate Boonplod,C3, 2020-09-27 10:35:09,Kreutz group comet
Sep 24 2020 22:44:34,Peiyuan Sun,C3, 20200924 18:21:54,Kreutz group comet
Sep 16 2020 13:08:13,Worachate Boonplod,C3,2020-09-16 12:25:11,Kreutz group comet
Sep 15 2020 18:03:56,Worachate Boonplod,C3, 2020-09-15 16:14:35,Kreutz group comet
Sep 13 2020 20:40:53,Worachate Boonplod,C3,2020-09-13 20:03:11,Meyer group comet
Sep 13 2020 17:38:44,Sergey Shurpakov,C3,2020/09/13 17:18:43,Kreutz group come
Sep 10 2020 07:10:23,Worachate Boonplod,C3, 2020-09-10 06:36:07,Kreutz group comet
Sep 09 2020 05:52:57,Michal Biesiada,,20-9-9 05:35:19,Kreutz group comet
Sep 09 2020 02:40:54,Peiyuan Sun,C3, 20200909 00:39:24,Kreutz group comet
Sep 06 2020 17:07:07,Worachate Boonplod,C3,2020-09-06 16:30:20,Non-group comet
