Confirmation date,Confirmed by,Tel,Discovery report date,Group
Jan 22 2021 23:11:51,Worachate Boonplod, C2,2021-01-22 08:57:48,Meyer group comet
Jan 22 2021 06:29:01,Masanori Uchina,C2, 2021/1/21 17:52:24,Non-group comet
Jan 21 2021 17:11:06,Worachate Boonplod,C3, 2021-01-21 15:45:32,Kreutz group comet
Jan 21 2021 09:26:52,Worachate Boonplod,C2, 2021-01-21 08:19:58,Meyer group comet
Jan 17 2021 08:28:51,Rafal Biros,C3,210117 05:17:44,Non-group comet
Jan 17 2021 08:27:37,Rafal Biros,C3, 210116 19:41:44,Kreutz group comet
Jan 12 2021 05:40:43,Masanori Uchina, C2,2021/1/9 16:39:27,Meyer group comet
Jan 05 2021 07:13:21,Masanori Uchina,C3,2021/1/5 05:15:24,Kreutz group comet
Jan 02 2021 11:54:09,Worachate Boonplod, C3, 2021-01-02 10:40:24,Kreutz group comet
